"Category","RelativePath","HitLines"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\HOUSE_DOCK_CONTROL_ROOM_SAVE_PACKET_V1\06_MEMORY_SEARCH_GROWTH\HOUSE_DOCK_SCENT_SEARCH_TRACEABILITY_V1.md","1"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0006__123\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\PORCH_WATCHER_MOVE_NOT_COPY_HOUSEKEEPING_RULE_20260522.md","1"
"REVIEW_REQUIRED",".\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\PORCH_WATCHER_MOVE_NOT_COPY_HOUSEKEEPING_RULE_20260522.md","1"
"REVIEW_REQUIRED",".\_MISC_DRAWER\READ_REPORTS\DEEPER_HOUSE_RULES_ROOMS_TOOLS_RESOURCES_WALK_V2_20260528_010508.md","1"
"REVIEW_REQUIRED",".\_MISC_DRAWER\READ_REPORTS\POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260530_105415_RUN_FULL_HOUSE_GATE_WASH_SINGLE_COMMAND_SUPERVISOR_V3.ps1.md","1"
"REVIEW_REQUIRED",".\_MISC_DRAWER\READ_REPORTS\POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260530_105328_RUN_FULL_HOUSE_GATE_WASH_SINGLE_COMMAND_SUPERVISOR_V3.ps1.md","1"
"REVIEW_REQUIRED",".\_SOURCE_RESEARCH_NOTES\ROOT_TEXT_DROPS_20260603\CONSUMED_BY_REPO_SAVE\RAW_HELPER_STRESS_BENCH_DEEP_ADDENDUMS_COMPATIBILITY_GATES_AND_SELFTESTS_20260603.txt","1"
"REVIEW_REQUIRED",".\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\FRESHNESS_DECAY_LABELS_TINY_PROOF_20260528.md","1"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\HOUSE_DOCK_CONTROL_ROOM_SAVE_PACKET_V1\04_KERNEL_PROOF\HOUSE_DOCK_KERNEL_OPERATING_CONTRACT_V1.md","1"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_N_RECEIPTS\RECYCLE_BIN_RECOVERY_20260604_203541\RECOVERED_ITEMS\ITEM_0001__123\123\Jxhnny_Kl33N_Seedz\_MERGE_AUDIT\duplicates.tsv","1"
