"Category","RelativePath","Line","Text"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","1003","`REVIEW_REQUIRED`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","28274","`REVIEW_REQUIRED`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","28310","`REVIEW_REQUIRED`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","29520","`NEEDS_REVIEW`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","29567","`REVIEW_REQUIRED`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","29838","`REVIEW_REQUIRED`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","29914","`REVIEW_REQUIRED`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","29922","EXAMPLE-OLG-0001,EXAMPLE-PARK-0004,12,5,7,2,1,REVIEW_REQUIRED,Reduce to parent/source/proof/return links only,Overlink review does not prove remaining links are valuable,Stop before adding more links"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","31679","`REVIEW_REQUIRED`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","31915","`REVIEW_REQUIRED`"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","32003","EDGE-PARK-001,EDGE_AMBIGUOUS_OBJECT_TYPE,EDGE,Ambiguous object type should require review not pass,ObjectType=UNKNOWN_OBJECT but otherwise strong row,REVIEW_REQUIRED,REVIEW_OBJECT_TYPE_REQUIRED,Review decision needed,Doe"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","32005","EDGE-PARK-003,EDGE_DUPLICATE_CONCEPT,EDGE,A duplicate may merge or link but should not create uncontrolled copy,Name/meaning matches existing ParkId,REVIEW_REQUIRED,REVIEW_DUPLICATE_OR_MERGE,Duplicate comparison,Does not"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","32007","EDGE-PARK-005,EDGE_SOURCE_HASH_MISSING_FILE_BASED,EDGE,File source without hash may park as incomplete but cannot adopt,SourceClass=FILE SourceHash blank,REVIEW_REQUIRED,REVIEW_CUSTODY_INCOMPLETE,Custody warning,Does not"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","32008","EDGE-PARK-006,EDGE_RETURN_TRIGGER_FIRED_BUT_PROOF_MISSING,EDGE,Triggered return without proof opens review only,ReturnTriggerStatus=TRIGGERED ProofStatus=NOT_STARTED,REVIEW_REQUIRED,REVIEW_TRIGGERED_PROOF_MISSING,Review-"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","32010","EDGE-PARK-008,EDGE_STALE_PARKED_ITEM,EDGE,Old parked item needs review/retire not silent live carry,LastReviewUtc old and ReturnTrigger dormant,REVIEW_REQUIRED,REVIEW_STALENESS_REQUIRED,Staleness review,Does not prove it"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\raw progress.txt","33152","* REVIEW_REQUIRED"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\PARKING_CONTROL_SURFACE_V2\02_PROOF_BENCH\PARKING_CONTROL_SURFACE_V2_FIXTURE_CATALOG.csv","15","EDGE-V2-001,EDGE_URGENT_TRIGGER_PROOF_MISSING,EDGE,Urgency must not bypass proof,Priority=P0 but ProofStatus=NOT_STARTED,REVIEW_REQUIRED,REVIEW_URGENT_TRIGGER_PROOF_MISSING,Review result plus proof need,Does not prove tr"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\PARKING_CONTROL_SURFACE_V2\02_PROOF_BENCH\PARKING_CONTROL_SURFACE_V2_FIXTURE_CATALOG.csv","16","EDGE-V2-002,EDGE_USER_REQUEST_BLOCKED_LANE,EDGE,User request can open review but blocked lane stays blocked,Requested movement asks for UI while UI lane blocked,REVIEW_REQUIRED,REVIEW_USER_REQUEST_BLOCKED_LANE,Boundary r"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\PARKING_CONTROL_SURFACE_V2\02_PROOF_BENCH\PARKING_CONTROL_SURFACE_V2_EXPECTED_RESULTS.csv","6","EXP-V2-005,BAD-V2-005,BLOCK,REVIEW_REQUIRED,NONE,BLOCK_TRIGGER_AS_QUEUE_PRIORITY,Open review only,Yes,Expected result is not executed proof,Stop before active queue"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\PARKING_CONTROL_SURFACE_V2\02_PROOF_BENCH\PARKING_CONTROL_SURFACE_V2_EXPECTED_RESULTS.csv","10","EXP-V2-009,BAD-V2-009,BLOCK,REVIEW_REQUIRED,NONE,BLOCK_TRIGGER_FLOOD,Rationalize and suppress nuisance triggers,Yes,Expected result is not executed proof,Stop before wake queue"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\PARKING_CONTROL_SURFACE_V2\02_PROOF_BENCH\PARKING_CONTROL_SURFACE_V2_EXPECTED_RESULTS.csv","15","EXP-V2-014,EDGE-V2-001,REVIEW_REQUIRED,PROOF_REQUIRED,NONE,REVIEW_URGENT_TRIGGER_PROOF_MISSING,Review urgency without adoption,Yes,Edge result is not executed proof,Stop before adoption"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\PARKING_CONTROL_SURFACE_V2\02_PROOF_BENCH\PARKING_CONTROL_SURFACE_V2_EXPECTED_RESULTS.csv","16","EXP-V2-015,EDGE-V2-002,REVIEW_REQUIRED,BLOCKED,NONE,REVIEW_USER_REQUEST_BLOCKED_LANE,Review request but keep lane blocked,Yes,Edge result is not executed proof,Stop before UI"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\PARKING_GATE_CONTROL_SURFACE_V1\Final Agent\CHAT_PICKUP_HANDOFF_PARKING_SYSTEM_NEXT_PROOF_BENCH_20260601.md","130","- REVIEW_REQUIRED"
"REVIEW_REQUIRED",".\_LOCAL_CUSTODY_AND_RECEIPTS\ROOT_LEGACY_RESIDUE_PHASE2_20260603_234817\PARKED_PACKAGES_PENDING_REVIEW\HOUSE_DOCK_CONTROL_ROOM_SAVE_PACKET_V1\98_SOURCE_RAW\FINAL_RAW_PROGRESS.txt","10764","REVIEW_REQUIRED"
