"PacketFamily","RelativePath","FileName","SizeBytes","LastWriteTime","SHA256","Classification","HashStatus","Notes"
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_SIGNAL_CATEGORY_COUNTS.csv","WASH_SIGNAL_CATEGORY_COUNTS.csv","460","2026-06-06T07:54:51.1644446Z","A2BC19A3DBA1A5AC2D5F35061BF747E81446F1A29F467F90064491E948527EDD","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_SIGNAL_FILE_COUNTS_TOP100_BY_CATEGORY.csv","WASH_SIGNAL_FILE_COUNTS_TOP100_BY_CATEGORY.csv","199045","2026-06-06T07:54:51.1644446Z","37EA24D526E88BB0F86443EDC6F2801785B6D2856202A6457DC3BDC205F5F358","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_SIGNAL_HITS_SAMPLE.csv","WASH_SIGNAL_HITS_SAMPLE.csv","609013","2026-06-06T07:56:19.2077049Z","3E28C8C4DC8E2ED55C5A9999BE1D7A4EAA7DF00568C68AA2202CC3517D7287C3","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_SIGNAL_SUMMARY.json","WASH_SIGNAL_SUMMARY.json","5581","2026-06-06T07:55:57.6274748Z","3BD1803DD23CCA91119CF609D4F0B7D923090CCE7C7FEB3A1921704D60AEBA21","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_TOP_LEVEL_COUNTS.csv","WASH_TOP_LEVEL_COUNTS.csv","456","2026-06-06T07:51:01.1015527Z","D1D97A7E905E7B2F897A83EEFC5BA8ADE2DD350E9578C44BA20685534126EC77","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"LANE_SUPPORT","ROOT_INTAKE_RECEIPT__ROOT_SOURCE_DROPS_PLACED_20260606.md","ROOT_INTAKE_RECEIPT__ROOT_SOURCE_DROPS_PLACED_20260606.md","3049","2026-06-06T07:24:41.8972309Z","A8BC4B913BCA2B64FF041F7999CD23786A7A65A6FB9081D4487F98DF55976790","RECEIPT","HASHED_LOCAL","Computed from local lane support file."
"LANE_SUPPORT","HUMAN_ACCEPTANCE_DECISION__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","HUMAN_ACCEPTANCE_DECISION__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","8393","2026-06-06T17:57:08.5444599Z","65795E12860365F447AEC28C4CB8735F699B9DF9B177CA5C4F1D6A79297F0681","ACCEPTANCE_SUPPORT","HASHED_LOCAL","Computed from local lane support file."
"LANE_SUPPORT","HUMAN_ACCEPTANCE_RECEIPT__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","HUMAN_ACCEPTANCE_RECEIPT__HELPER_EXPOSURE_33RD_PROTOCOL_FIRST_LIVE_USE_TEST_20260606.md","4265","2026-06-06T17:57:08.6074027Z","0A6E4B385661171368073E805406D270BD9C4CF8A3BAF56876BA9BD37ABABF54","ACCEPTANCE_SUPPORT","HASHED_LOCAL","Computed from local lane support file."
"LANE_SUPPORT","PACKET_FAMILY_INDEX__COMMAND_CENTER_UI_LANE_20260606.md","PACKET_FAMILY_INDEX__COMMAND_CENTER_UI_LANE_20260606.md","10043","2026-06-06T17:57:08.6246096Z","DBE6E2ED56F23192FEFA5F2F3FF732FD37203D8AC18E84C72D3042D25F08142F","REVIEW_PACKET","HASHED_LOCAL","Computed from local lane support file."
"LANE_SUPPORT","PACKET_FAMILY_HASH_LEDGER__COMMAND_CENTER_UI_LANE_20260606.md","PACKET_FAMILY_HASH_LEDGER__COMMAND_CENTER_UI_LANE_20260606.md","0","SELF_REFERENCE","SELF_HASH_RECORDED_EXTERNALLY_AFTER_FINAL_WRITE","HASH_LEDGER","SKIPPED_SELF_REFERENCE_RULE","A file cannot embed its own final hash without changing that hash. Current final self-hash is recorded in BLOCKER_CLOSEOUT_RUN_20260606\\PACKET_FAMILY_HASH_LEDGER_SELF_SHA256__COMMAND_CENTER_UI_LANE_20260606.txt."
